customer_text,reply,human_overall,human_acceptable
"Ok , how is Kenny Rogers our top related artist? What’s up?","Thanks for your feedback! We'll pass it on to our team. If Kenny Rogers' profile needs improvement, please reach out to Spotify Support for assistance. We appreciate your patience and understanding. 🎵",,
"Add a Metal Christmas playlist, where it is heavy metal instead of rock. August Burns Red has some great christmas music.","Hi there! We appreciate your suggestion for a 'Metal Christmas' playlist. We'll consider adding this genre to our playlists. Meanwhile, you can create your own custom playlist with heavy-metal Christmas songs. Happy Holidays!",,
when is the Top Songs of 2017 playlist coming?,Hey! We're launching regularly in countries around the world. Sign up here to be first to hear: /DF,,
what the fuq with your web player ? #spotifyth it keeps getting crashed all the freaking time !,Hey there! Could you tell us what's happening exactly? We'll see what we can suggest /DF,,
when can i stream pitbulls greatest hits album ?,"Hey Kailin, thanks for the feedback. Don't worry! You can sort and filter your playlists. Check this out: /RK",,
having trouble updating payment info. Keeps reverting back to premium for students and charge doesn't go through. Help?,"Hi there! Please DM us your account's email address so we can take a look at your payment information. We'll guide you through the process. Grounded: True, missing_info: []}",,
How to request a song / album (origional album or artist) to upload in your library which is still not there . Please let me know via direct message or send me link. Waiting reply.,"Thanks for getting back to us. We do our best! But sometimes agreements are ongoing, or can't be reached with the content provider /GT",,
can you guys put music back on or what the fuck no mamen pendejos,Hey there! We're sorry for the inconvenience. Please restart your Spotify app and let us know if the issue persists. We'll assist you further. Grounded: True,,
Any move on this yet?,"I'm sorry for any inconvenience caused. Please provide more information about the feature you're requesting, and we'll consider it for future updates. You can share your idea in the 'Ideas & Feedback' section within the Spotify app. Thank you for your support!",,
I'm too young and poor to own a credit card and a paypal account. Can I use load as my payment method?,"We're afraid we have no info to share about this. No worries, we'll make sure they're passed on to the relevant folks /RC",,
"when im listening to music it states that i can click the thing to get 30 minutes of ad free listening but when i go to click the part that has been there in the past, its not there so i cant do anything. it has done this about three times since i started listening today",That doesn't sound good! Did the app crash at any point during the 30 minutes? That can cause the ad-free time to reset /FR,,
can you guys put music back on or what the fuck no mamen pendejos,Hey there! Can you tell us what country your account is set to? We'll check things out /CH,,
"I paid it already, but my account is still free account. Can help with my problem? Purchase no __credit_card__",Hi Azwan! Please send us your account's email address or username in a DM so we can check the payment and update your subscription. Grounded: True,,
Fam why is “Rain On Me” NOT on Chapter II ??,"Don't fret! It's being updated regularly & we'll be sure to let the right team know of your observations. Any questions, give us a shout /GN",,
"Ok , how is Kenny Rogers our top related artist? What’s up?","Hi! Thanks for your feedback - we'll pass it on. For now, check out if you haven't had a subscription before /AU",,
thanks fam this is important,"Great. Give us a shout if you need us again, and we'll come running 🏃 /CO",,
"can someone please get a hold of me,,,,, i need a refund and cancel, i have email and tweeted your spotifycare and get no response","Hello! To assist you with your refund and account cancellation request, please DM us your account's email address or username. We'll look into this for you. Used evidence: [1, 2, 3, 4]",,
what the fuq with your web player ? #spotifyth it keeps getting crashed all the freaking time !,"Hey there! We understand how frustrating this must be. Please try clearing your Spotify cache and cookies, then restart the web player. If the issue persists, kindly provide us with the browser you're using and its version. We'll do our best to assist you. /JH",,
wyd people have been telling you this is happening so can you fix it lmao,"We unserstand, but we’re afraid that we don’t have any more info to share. Give us a shout if you need anything else /NY",,
"So keeps doing this thing where all my downloaded songs disappear and then when I go to listen to music offline I can't. Pretty awesome. any idea why? I've reinstalled, cleared out the offline devices list, redownloaded music numerous times.",Hi there! We understand how frustrating this must be. Please DM us your account's email address so we can take a closer look and see if we can resolve this issue for you. Stay tuned for updates!,,
"I know, but your UI is saying that I’m at 1k+ of 4k+ downloads. It seems like it should say 1k+ of 3,333. ;)",Hi there. Thanks for bringing this up. We’re always testing things in order to improve. Let us know what you think /JU,,
still upset that got rid of messaging a while ago lol,Hi there! Can you DM us your account's username or email address? We'll take a look backstage /MC,,
