thread_id,customer_text,brand_text,ts_customer,len_bucket,time_half,sugg_intent,sugg_action,reference_reply,gold_intent,gold_action,gold_notes
622838,Thanks for the reply . The African market is open for business . Trends and market trajectory shows #Nigeria is ready for you guys . #Spotify #DigitalMarket #DigitalProducts,"We hear you 🎧 Rest assured, your feedback will be passed on to the right folks /MX",2017-11-22 17:42:58+00:00,medium,early,other,auto_handle,"That's awesome, Katrina! Give us a shout if you have other questions - we'll be sure to help out :) /SY",other,auto_handle,"PROVISIONAL - auto-filled, not hand-labelled"
2981986,Trash!! Worst customer service by far!! Your reviews dropped from 4 and a half stars to 3 stars pathetic. How is it people get Premium for .99 cents and yet i have to pay $10? I want the premium for 3 months for .99 like i was promised..,Hey Robert! Can you send us a DM with your account's email address? We'll check this out backstage /CE,2017-11-30 04:38:50+00:00,long,late,billing_subscription,escalate,We're sorry to hear you feel that way. We've just replied to your DM. Let's continue chatting there /JP,billing_subscription,escalate,"PROVISIONAL - auto-filled, not hand-labelled"
504289,VERY disappointed in - simply no way to get support. For Months I am trrying to get SpotifyConnect to work to no avail. Spotify and ChromeCast works flawless but and - unreliable!,"Hey there! Can you let us know what's happening exactly, along with the device, OS, and Spotify version you're rocking? /QI",2017-12-01 18:15:42+00:00,medium,late,device_or_connect,escalate,Hi! We've just replied to your DM. Let's carry on there /JE,device_or_connect,escalate,"PROVISIONAL - auto-filled, not hand-labelled"
176560,"Hi, I'm really interested to become one of your premium user, just curious, is this promo only for credit card payment? Please advise. Tx.",Hey there! You can use any recurring payment method that’s available when signing up for a Spotify subscription. Could you DM your username and email address? We'll take a look 🔍 /PX,2017-11-24 23:25:23+00:00,medium,early,billing_subscription,escalate,"Hey Angel, help's here! Can you send us your account's email address or username via DM? We'll take a look backstage /JE",billing_subscription,escalate,"PROVISIONAL - auto-filled, not hand-labelled"
2916518,"are you having issues? Search just brings me to a blank page. Doesn't work on wifi or mobile. Running iOS 10.3.3. Started today, wasn't an issue yesterday.",Hey Fiona! Everything should be running smoothly now. Let us know if this is still happening /GS,2017-11-28 20:57:33+00:00,medium,late,playback_or_app_bug,escalate,Got it! Thanks for the heads up. Our tech folks are investigating this as we speak /MX,playback_or_app_bug,escalate,"PROVISIONAL - auto-filled, not hand-labelled"
66032,"Any known issues at the moment with the facebook interface? Can't seem log into the app via facebook at the moment, oh and: this is on the screen in chrome:","Hi there! That's odd. Can you DM us your account's username or email address, along with a screenshot of the error message you're getting on the app? We'll check things backstage /MU",2017-11-30 08:24:11+00:00,medium,late,account_access,escalate,Hey there! Could you send us a DM? We'd like to share more info about this 😉 /AP,account_access,escalate,"PROVISIONAL - auto-filled, not hand-labelled"
2829790,"can someone please get a hold of me,,,,, i need a refund and cancel, i have email and tweeted your spotifycare and get no response",Hey Lynda! We've just replied to your DM. Let's continue chatting there /GT,2017-11-27 16:36:32+00:00,medium,early,cancel_or_refund,escalate,Hey there! Can you DM us your account's email address or username? We'll take a look /NS,cancel_or_refund,escalate,"PROVISIONAL - auto-filled, not hand-labelled"
2968459,"my card was terminated and I tried changing it to two other cards but the payment is not going through, please help!!",Hey there! Can you send us a DM with your account's email address or username? We'll take a look backstage /AR,2017-11-29 23:43:07+00:00,medium,late,billing_subscription,escalate,Hey Janice! We've sent a reply to your DM. Let's carry on chatting there /LP,billing_subscription,escalate,"PROVISIONAL - auto-filled, not hand-labelled"
571359,could you help too?,Hi Michael! We'd love to help. We've just sent you a bit more info over DM. We'll carry on helping out there /JS,2017-12-03 02:27:04+00:00,short,late,other,auto_handle,Alright. We've sent you a DM. We'll continue helping out there /LM,other,auto_handle,"PROVISIONAL - auto-filled, not hand-labelled"
1384546,problem solved! Thanks,Awesome! Let us know if you ever need us again. We'd be... /NQ,2017-11-28 03:58:07+00:00,short,early,other,auto_handle,Awesome! Let us know if you ever need us. We'd be... /MX,other,auto_handle,"PROVISIONAL - auto-filled, not hand-labelled"
