tweet_id,author_id,inbound,created_at,text,response_tweet_id,in_response_to_tweet_id
1001,50001,True,Mon Oct 02 09:12:00 +0000 2017,"@SpotifyCares my downloaded songs won't play offline on the train this morning, super annoying",1002,
1002,SpotifyCares,False,Mon Oct 02 09:40:00 +0000 2017,"@50001 oof! try toggling offline mode off and on in Settings, then re-download the playlist while on wifi. that clears most sync issues 🎧",1003,1001
1003,50001,True,Mon Oct 02 10:05:00 +0000 2017,"@SpotifyCares that fixed it, thank you!",,1002
1004,50002,True,Tue Oct 03 14:20:00 +0000 2017,"@SpotifyCares I was charged twice for Premium this month, need one of those refunded",1005,
1005,SpotifyCares,False,Tue Oct 03 14:55:00 +0000 2017,"@50002 that's not right — we don't have access to card details here, can you DM us the email on the account so we can check the charges?",1006,1004
1006,50002,True,Tue Oct 03 15:30:00 +0000 2017,"@SpotifyCares sent you a DM",,1005
1007,50003,True,Wed Oct 04 08:00:00 +0000 2017,"@SpotifyCares can't log in, it keeps saying my password is wrong and the reset email never arrives",1008,
1008,SpotifyCares,False,Wed Oct 04 08:30:00 +0000 2017,"@50003 check your spam folder for the reset mail, and make sure you're resetting from spotify.com/password. if you signed up with Facebook, use 'Log in with Facebook' instead",1009,1007
1009,50003,True,Wed Oct 04 09:10:00 +0000 2017,"@SpotifyCares still nothing, this is useless",,1008
1010,50004,True,Thu Oct 05 19:45:00 +0000 2017,"@SpotifyCares the new Discover Weekly is all songs I already know, bring back the old algorithm please",1011,
1011,SpotifyCares,False,Thu Oct 05 20:15:00 +0000 2017,"@50004 thanks for the feedback! the more you skip/save, the more it adapts. we'll pass the note about repeats to the team 🙌",,1010
1012,50005,True,Fri Oct 06 11:00:00 +0000 2017,"@SpotifyCares Spotify Connect won't find my Sonos speakers since the last update",1013,
