thread_id,customer_text,brand_text,ts_customer,len_bucket,time_half,sugg_intent,sugg_action,reference_reply,gold_intent,gold_action,gold_notes
79400,"Not me, but my bestie. She's trying to make acc on spotify because they said that something went wrong",Could you send us a DM with your friend's email address? We'll take a look backstage /MA,2017-11-30 13:16:08+00:00,medium,late,other,escalate,"Hi Denis, help's here! Can you DM us your account's email address? We'll take a look backstage /DV",,,
89492,#DDoS all our data has been stolen?,"Hey, help's here! Can you DM us your account's email address? We'll take a look under the hood /GS",2017-11-28 21:51:08+00:00,short,late,other,escalate,Got it. Is this also happening on other devices? Thanks for bearing with us /JI,,,
2818857,"I’ve been trying to update my payment method on you website for the last 45 minutes, but it won’t work. I bet would take my payment/new card info.",Hi there! Are you getting any error messages? Can you DM us your account's email address or username? We'll take a look backstage /NQ,2017-11-27 00:44:28+00:00,medium,early,billing_subscription,escalate,Hey! Can you DM us your account's email address? We'll see what we can suggest /CB,,,
2917877,Spotify is down... I need to download Christmas songs to annoy the Christmas temps at work 😩😩😂😂 help me!,"Hey, thanks for the report! We had a little hiccup earlier, but everything should be running just fine now /JS",2017-11-28 21:05:34+00:00,medium,late,playback_or_app_bug,auto_handle,Hi Jordan. Sometimes content gets temporarily removed because of licensing changes. Hopefully we'll have it available again soon /JU,,,
564531,I can't redeem my 30 dollar code for my acciunt,Hi there! Can you DM us your account's email address or username? We'll take a look backstage /NQ,2017-12-02 15:51:00+00:00,short,late,other,escalate,Hey Kylie! Could you DM us your account's username or email address? A screenshot of the exact error message would also help /LP,,,
455632,"So annoyed with - took £14.99 from my bank account, for no reason at all. I haven’t signed up to upgrade-EVER. My account is & has ALWAYS BEEN FREE! So please tell me why you have charged me. I have contacted my bank & have made a DISPUTE. I would like my money back!","Hey Jade, help's here! Can you DM us an email address we can use to reach out to you? We'll help out backstage /JX",2017-11-30 23:27:11+00:00,long,late,cancel_or_refund,escalate,Hi there! Can you DM us your account's email address or username? We'll take a look backstage /NQ,,,
656479,best way to reorganize playlist order in sidebar? Desktop app seems cumbersome. Any suggestions appreciated,"Hey Patrick! For now, you rearrange how your playlists appear on the side bar by dragging and dropping. Thanks for sharing your thoughts though. We'll pass your feedback on to the team /RH",2017-11-22 22:25:52+00:00,medium,early,other,auto_handle,"Thanks. You can type in ""label:[name of label]"". The songs and artists that come up should be under that label. Hope this aids you /GK",,,
2957859,"i contacted customer support, i was just lamenting. but i am very satisfied with how ya'll handle issues. so thank you!",No worries! Just give us a shout if you need us again. We're... 🙂 /CG,2017-11-29 19:35:37+00:00,medium,late,feature_request_or_feedback,escalate,"Hey Diana, help's here! Can you DM us any email addresses you have? We'll check things out /KC",,,
2909851,thanks fam this is important,"You're welcome! If you need us again, just shout 🙂 /K",2017-11-28 21:08:31+00:00,short,late,other,escalate,"Great. Give us a shout if you need us again, and we'll come running 🏃 /CO",,,
115317,add more lil peep songs tf,"Hey there! We’d love to have all of his stuff available, but we have some info about content here: /TB",2017-11-23 21:10:20+00:00,short,early,feature_request_or_feedback,auto_handle,"Hi there. We’d love to have all of their music available, but we have some info about content here: /JU",,,
128206,please and how can we compensate can you give me some playlist help,Hey there! Our friends in Artist Support are the right folks to help with this. You can get in touch with them here: /JI,2017-11-24 20:32:21+00:00,short,early,other,auto_handle,"Hi there! Just to check, are you currently using Spotify Free or Spotify Premium? Also, what device is this happening on? /SC",,,
2822003,"Not all the songs in my playlists are downloading for offline use on my mac. Reinstalled, no change. Any ideas?","Hey there! What device, operating system, and Spotify version are you using? We'll see what we can suggest /MA",2017-11-27 07:45:07+00:00,medium,early,playback_or_app_bug,escalate,Thanks! Can you DM us your account's username and email address? We'll take a look backstage /SY,,,
472539,"What is happening to ? The web player keeps freezing the browser, errors on search, can't play songs and refreshing doesn't help...","Hey there. What operating system and browser are you using? If you try to log out > restart your device > log back in, does that help? /AY",2017-12-01 08:45:23+00:00,medium,late,playback_or_app_bug,escalate,"Hey, we're here to help. What device, operating system, and Spotify version are you using? We'll see what we can suggest /RA",,,
554127,Panic over. Removed & reinstalled app. All sorted. 😅,Hey there! We're glad to hear that everything is sorted. Just give us a shout if you need help with anything else. We're just a tweet away /LM,2017-12-02 19:10:21+00:00,short,late,other,escalate,"Thanks for trying to troubleshoot your device. Don't worry, our tech folks are investigating this as we speak. It should be fixed soon! /MA",,,
