thread_id,customer_text,brand_text
91680,"I know, but your UI is saying that I’m at 1k+ of 4k+ downloads. It seems like it should say 1k+ of 3,333. ;)",That's odd. Can you send us a screenshot of what you're seeing in-app? We'll do some digging 🔍 /JE
653091,"Why can't I join the a Premium-family-group when everything is in order? The form that I have to fill out just says ""3 - Ops, something went wrong. Try again"". And ive tried alot of times :/","Hey Rutta! Can you DM us your account's email address, as well as that of the Family plan owner's? We'll take a look backstage /SY"
1190796,having trouble updating payment info. Keeps reverting back to premium for students and charge doesn't go through. Help?,"Hey, help's here! Could you send us a DM with your account's email address or username? We'll take a look backstage /CO"
70711,what the fuq with your web player ? #spotifyth it keeps getting crashed all the freaking time !,"Hey, that's not cool! When did this start to happen? Can you also let us know the internet browser you're using? /LO"
2545266,can you guys put music back on or what the fuck no mamen pendejos,Hi Miguelito! His content may be down due to licensing matters and could be temporary. More info here: Hopefully we'll have them again soon /NJ
688095,"I paid it already, but my account is still free account. Can help with my problem? Purchase no __credit_card__",Hey! The cavalry's here. Can you DM us your account's username or email address? We'll take a look under the hood /JS
83696,I'm too young and poor to own a credit card and a paypal account. Can I use load as my payment method?,Hey there! We're here to help. Can you DM us your account's email address? We'll take a look under the hood /AN
620376,How to request a song / album (origional album or artist) to upload in your library which is still not there . Please let me know via direct message or send me link. Waiting reply.,Hi Adeel. Can you tell us more about the song or album you're referring to? We'll take a look backstage /XF
110046,"Unable to complete invitation for the family premium. We have a family email but also each of us has our own. Could this be the reason? If so, how do we fix?","Hey Cat, help's here! Can you DM us the usernames or email addresses of your account and the members you're trying to invite? We'll take a look under the hood /WP"
466114,"when im listening to music it states that i can click the thing to get 30 minutes of ad free listening but when i go to click the part that has been there in the past, its not there so i cant do anything. it has done this about three times since i started listening today",That doesn't sound good! Did the app crash at any point during the 30 minutes? That can cause the ad-free time to reset /DD
2963341,"Ok , how is Kenny Rogers our top related artist? What’s up?",Hey there! Related Artists aren’t manually curated. We'd suggest checking out for more info. We hope this helps /LP
